Sync Time,Interval Name,InitTimeStamp,FinTimeStamp,Duration,Gaze Target,Target Code,Fix Range,Audio,Comments
02:08.200,4023,04:22.100,04:29.600,00:00:07.500,BlueNbook,7,,,
02:09.100,Red_1_1,04:23.000,04:29.600,00:00:07.500,BlueNbook,7,,,
02:15.700,Red_1_1,04:29.600,04:30.300,00:00:00.700,Orange,32,,,
02:16.400,Red_1_1,04:30.300,04:31.400,00:00:01.100,BlueNbook,7,,,
02:17.500,Red_1_1,04:31.400,04:32.700,00:00:01.300,Orange,32,,,
02:18.800,Red_1_1,04:32.700,04:35.900,00:00:03.200,BlueNbook,7,,,
02:22.000,Red_1_1,04:35.900,04:36.200,00:00:00.300,Test,2,,,
02:22.300,Red_1_1,04:36.200,04:38.800,00:00:02.600,BlueNbook,7,,,
02:24.900,Red_1_1,04:38.800,04:39.500,00:00:00.700,Orange,32,,,
02:25.600,Red_1_1,04:39.500,04:41.000,00:00:01.500,BlueNbook,7,,,
02:27.100,Red_1_1,04:41.000,04:51.200,00:00:10.200,Computer,1,,,
02:37.300,Red_1_1,04:51.200,04:55.200,00:00:04.000,BlueNbook,7,,,
02:41.300,Red_1_1,04:55.200,05:00.200,00:00:05.000,Blue,33,,,
02:46.300,Red_1_1,05:00.200,05:00.700,00:00:00.500,Distracted,19,,,
02:46.800,Red_1_1,05:00.700,05:01.900,00:00:01.200,Blue,33,,,
02:48.000,Red_1_1,05:01.900,05:02.700,00:00:00.800,Distracted,19,,,
02:48.800,Red_1_1,05:02.700,05:03.500,00:00:00.800,Blue,33,,,
02:49.600,Red_1_1,05:03.500,05:12.200,00:00:08.700,OrangeNbook,9,,,
02:58.300,Red_1_1,05:12.200,05:23.000,00:00:26.300,Computer,1,,,
03:09.100,,05:23.000,05:38.500,,Computer,1,,,
