Sync Time,Interval Name,Gaze Target,Target Code,Index
02:09.1,Red_1_1,BlueNbook,7,1
02:15.7,Red_1_1,Orange,30,1
02:16.4,Red_1_1,BlueNbook,7,1
02:17.5,Red_1_1,Orange,30,1
02:18.8,Red_1_1,BlueNbook,7,1
02:22.0,Red_1_1,Test,2,1
02:22.3,Red_1_1,BlueNbook,7,1
02:24.9,Red_1_1,Orange,30,1
02:25.6,Red_1_1,BlueNbook,7,1
02:27.1,Red_1_1,Computer,1,1
02:37.3,Red_1_1,BlueNbook,7,1
02:41.3,Red_1_1,Blue,33,1
02:46.3,Red_1_1,Distracted,19,1
02:46.8,Red_1_1,Blue,33,1
02:48.0,Red_1_1,Distracted,19,1
02:48.8,Red_1_1,Blue,33,1
02:49.6,Red_1_1,OrangeNbook,9,1
02:58.3,Red_1_1,Computer,1,1
03:09.1,Red_1_1,Computer,1,1
,,,,
03:37.8,Red_1_2,Test,2,2
03:41.6,Red_1_2,Computer,1,2
03:49.3,Red_1_2,Test,2,2
03:50.3,Red_1_2,Computer,1,2
03:52.8,Red_1_2,Test,2,2
03:54.5,Red_1_2,BlueNbook,7,2
03:55.3,Red_1_2,Orange,30,2
03:56.1,Red_1_2,Blue,33,2
03:56.5,Red_1_2,Test,2,2
03:57.2,Red_1_2,Blue,33,2
03:58.1,Red_1_2,OrangeNbook,9,2
04:10.3,Red_1_2,Orange,30,2
04:11.8,Red_1_2,Computer,1,2
04:12.3,Red_1_2,Test,2,2
04:14.1,Red_1_2,BlueNbook,7,2
04:14.7,Red_1_2,Distracted,19,2
04:18.7,Red_1_2,Test,2,2
04:19.7,Red_1_2,Computer,1,2
04:20.1,Red_1_2,Blue,33,2
04:20.5,Red_1_2,Distracted,19,2
04:21.5,Red_1_2,Another team,13,2
04:29.5,Red_1_2,Computer,1,2
04:33.2,Red_1_2,Test,2,2
04:33.5,Red_1_2,Distracted,19,2
04:35.6,Red_1_2,Computer,1,2
04:37.8,Red_1_2,Computer,1,2
,,,,
05:36.3,Red_1_3,Test,2,3
05:44.5,Red_1_3,Computer,1,3
05:45.2,Red_1_3,Orange,30,3
05:45.3,Red_1_3,Blue,33,3
05:49.1,Red_1_3,Orange,30,3
05:50.1,Red_1_3,Distracted,19,3
06:02.9,Red_1_3,Computer,1,3
06:03.9,Red_1_3,Test,2,3
06:04.4,Red_1_3,Distracted,19,3
06:07.7,Red_1_3,Computer,1,3
06:09.4,Red_1_3,Distracted,19,3
06:10.6,Red_1_3,RedNbook,23,3
06:11.4,Red_1_3,Test,2,3
06:11.9,Red_1_3,Computer,1,3
06:22.9,Red_1_3,Indetermined,92,3
06:24.9,Red_1_3,RedNbook,23,3
06:25.9,Red_1_3,Computer,1,3
06:26.3,Red_1_3,Test,2,3
06:26.8,Red_1_3,Distracted,19,3
06:27.3,Red_1_3,Computer,1,3
06:30.1,Red_1_3,Distracted,19,3
06:34.1,Red_1_3,Computer,1,3
06:36.3,Red_1_3,Computer,1,3
,,,,
09:02.1,Red_1_4,Test,2,4
09:10.6,Red_1_4,Orange,30,4
09:12.5,Red_1_4,BlueNbook,7,4
09:13.0,Red_1_4,Computer,1,4
09:13.5,Red_1_4,Orange,30,4
09:14.0,Red_1_4,Distracted,19,4
09:16.7,Red_1_4,Orange,30,4
09:17.2,Red_1_5,Blue,33,4
09:22.5,Red_1_4,Computer,1,4
09:25.3,Red_1_4,Test,2,4
09:27.5,Red_1_4,Computer,1,4
09:30.0,Red_1_4,Blue,33,4
09:30.5,Red_1_4,Computer,1,4
09:31.5,Red_1_4,Blue,33,4
09:32.3,Red_1_4,Computer,1,4
09:40.7,Red_1_4,Test,2,4
09:41.5,Red_1_4,Computer,1,4
09:43.2,Red_1_4,Test,2,4
09:43.5,Red_1_4,Distracted,19,4
09:44.3,Red_1_4,RedNbook,23,4
09:45.7,Red_1_4,Computer,1,4
09:51.3,Red_1_4,Distracted,19,4
09:51.6,Red_1_4,Computer,1,4
09:54.3,Red_1_4,Test,2,4
10:01.8,Red_1_4,Blue,33,4
10:02.1,Red_1_4,Blue,33,4
,,,,
,,,,
11:19.1,Red_1_5,Computer,1,5
11:20.9,Red_1_5,Blue,33,5
11:26.7,Red_1_5,Distracted,19,5
11:27.4,Red_1_5,Blue,33,5
11:30.9,Red_1_5,Computer,1,5
11:49.6,Red_1_5,Blue,33,5
11:50.1,Red_1_5,Another team,13,5
11:50.8,Red_1_5,Blue,33,5
11:51.3,Red_1_5,Computer,1,5
11:53.8,Red_1_5,OrangeCell,14,5
11:55.3,Red_1_5,Computer,1,5
11:56.6,Red_1_5,OrangeCell,14,5
12:00.6,Red_1_5,Computer,1,5
12:02.3,Red_1_5,Blue,33,5
12:03.1,Red_1_5,OrangeCell,14,5
12:05.1,Red_1_5,BlueNbook,7,5
12:05.8,Red_1_5,OrangeNbook,9,5
12:11.1,Red_1_5,BlueNbook,7,5
12:12.1,Red_1_5,BlueCalc,6,5
12:17.3,Red_1_5,OrangeNbook,9,5
12:19.1,Red_1_5,OrangeNbook,9,5
,,,,
13:02.2,Red_1_6,Blue,33,6
13:03.2,Red_1_6,OrangeCell,14,6
13:03.3,Red_1_6,Blue,33,6
13:03.4,Red_1_6,Orange,30,6
13:04.1,Red_1_6,Blue,33,6
13:04.3,Red_1_6,Orange,30,6
13:05.2,Red_1_6,Blue,33,6
13:05.3,Red_1_6,Orange,30,6
13:06.5,Red_1_6,OrangeCell,14,6
13:06.8,Red_1_6,Orange,30,6
13:08.0,Red_1_6,RedNbook,23,6
13:08.9,Red_1_6,Distracted,19,6
13:10.7,Red_1_6,Orange,30,6
13:12.1,Red_1_6,Blue,33,6
13:12.2,Red_1_6,Orange,30,6
13:13.3,Red_1_6,Indetermined,92,6
13:14.1,Red_1_6,Computer,1,6
13:14.6,Red_1_6,Blue,33,6
13:15.1,Red_1_6,OrangeCell,14,6
13:15.4,Red_1_6,Computer,1,6
13:16.1,Red_1_6,OrangeCell,14,6
13:16.3,Red_1_6,BlueNbook,7,6
13:17.3,Red_1_6,OrangeCell,14,6
13:18.5,Red_1_6,OrangeCell,14,6
13:20.3,Red_1_6,Computer,1,6
13:20.7,Red_1_6,Test,2,6
13:21.2,Red_1_6,Distracted,19,6
13:21.5,Red_1_6,Test,2,6
13:21.7,Red_1_6,Computer,1,6
13:22.3,Red_1_6,Orange,30,6
13:23.1,Red_1_6,Blue,33,6
13:24.3,Red_1_6,OrangeCell,14,6
13:25.8,Red_1_6,Distracted,19,6
13:27.8,Red_1_6,Computer,1,6
13:31.1,Red_1_6,Distracted,19,6
13:31.6,Red_1_6,Computer,1,6
13:32.1,Red_1_6,Distracted,19,6
13:32.9,Red_1_6,Computer,1,6
13:44.1,Red_1_6,Distracted,19,6
13:44.8,Red_1_6,Computer,1,6
