"","time","Target.x","Target.y"
"1",1291,7,7
"2",1292,7,7
"3",1293,7,7
"4",1294,7,7
"5",1295,7,7
"6",1296,7,7
"7",1297,7,7
"8",1298,7,7
"9",1299,7,7
"10",1300,7,7
"11",1301,7,7
"12",1302,7,7
"13",1303,7,7
"14",1304,7,7
"15",1305,7,7
"16",1306,7,7
"17",1307,7,7
"18",1308,7,7
"19",1309,7,7
"20",1310,7,7
"21",1311,7,7
"22",1312,7,7
"23",1313,7,7
"24",1314,7,7
"25",1315,7,1
"26",1316,7,1
"27",1317,7,1
"28",1318,7,1
"29",1319,7,1
"30",1320,7,1
"31",1321,7,1
"32",1322,7,1
"33",1323,7,1
"34",1324,7,1
"35",1325,7,1
"36",1326,7,1
"37",1327,7,1
"38",1328,7,1
"39",1329,7,1
"40",1330,7,1
"41",1331,7,1
"42",1332,7,1
"43",1333,7,1
"44",1334,7,1
"45",1335,7,1
"46",1336,7,7
"47",1337,7,7
"48",1338,7,7
"49",1339,7,7
"50",1340,7,7
"51",1341,7,7
"52",1342,7,7
"53",1343,7,1
"54",1344,7,1
"55",1345,7,1
"56",1346,7,1
"57",1347,30,1
"58",1348,30,1
"59",1349,30,1
"60",1350,30,1
"61",1351,30,1
"62",1352,30,1
"63",1353,30,1
"64",1354,30,1
"65",1355,30,1
"66",1356,30,1
"67",1357,30,1
"68",1358,30,1
"69",1359,30,1
"70",1360,30,1
"71",1361,30,1
"72",1362,1,1
"73",1363,1,1
"74",1364,1,1
"75",1365,1,1
"76",1366,1,1
"77",1367,1,1
"78",1368,7,1
"79",1369,7,1
"80",1370,7,1
"81",1371,7,1
"82",1372,7,1
"83",1373,7,1
"84",1374,7,1
"85",1375,7,1
"86",1376,7,7
"87",1377,7,7
"88",1378,7,7
"89",1379,30,7
"90",1380,30,7
"91",1381,30,7
"92",1382,30,7
"93",1383,30,7
"94",1384,30,7
"95",1385,30,7
"96",1386,30,7
"97",1387,30,7
"98",1388,30,7
"99",1389,30,7
"100",1390,30,7
"101",1391,30,7
"102",1392,30,7
"103",1393,30,7
"104",1394,30,7
"105",1395,30,7
"106",1396,30,7
"107",1397,30,7
"108",1398,30,7
"109",1399,30,7
"110",1400,30,7
"111",1401,7,7
"112",1402,7,7
"113",1403,7,7
"114",1404,7,7
"115",1405,7,7
"116",1406,7,7
"117",1407,7,7
"118",1408,7,7
"119",1409,7,7
"120",1410,7,7
"121",1411,7,7
"122",1412,7,7
"123",1413,7,7
"124",1414,7,7
"125",1415,30,7
"126",1416,30,7
"127",1417,30,7
"128",1418,30,7
"129",1419,30,7
"130",1420,7,7
"131",1421,7,7
"132",1422,7,7
"133",1423,7,7
"134",1424,7,7
"135",1425,7,7
"136",1426,7,7
"137",1427,7,7
"138",1428,7,7
"139",1429,7,7
"140",1430,7,7
"141",1431,7,7
"142",1432,7,7
"143",1433,7,7
"144",1434,7,7
"145",1435,7,7
"146",1436,7,7
"147",1437,7,7
"148",1438,7,7
"149",1439,7,7
"150",1440,7,7
"151",1441,7,7
"152",1442,7,7
"153",1443,7,7
"154",1444,7,7
"155",1445,7,7
"156",1446,7,7
"157",1447,7,7
"158",1448,7,7
"159",1449,7,7
"160",1450,30,7
"161",1451,30,7
"162",1452,30,7
"163",1453,30,7
"164",1454,30,7
"165",1455,30,7
"166",1456,30,7
"167",1457,30,1
"168",1458,30,1
"169",1459,30,1
"170",1460,30,1
"171",1461,30,1
"172",1462,30,1
"173",1463,30,1
"174",1464,30,1
"175",1465,1,1
"176",1466,1,1
"177",1467,1,1
"178",1468,1,1
"179",1469,1,1
"180",1470,1,1
"181",1471,1,1
"182",1472,1,1
"183",1473,1,1
"184",1474,1,1
"185",1475,1,1
"186",1476,1,1
"187",1477,1,1
"188",1478,1,1
"189",1479,1,1
"190",1480,1,1
"191",1481,1,1
"192",1482,1,1
"193",1483,1,1
"194",1484,1,1
"195",1485,1,1
"196",1486,1,1
"197",1487,1,1
"198",1488,1,1
"199",1489,1,1
"200",1490,1,1
