Name,Decision.Making,"""RR""","""TT""",,,,
blueOrange_V1_1,N,38.12,35.54312354,,,,
blueOrange_V1_10,N,20.5275,51,,,,
blueOrange_V1_11,N,80.0625,87.5,,,,
blueOrange_V1_12,N,22.625,17.77996071,,,,
blueOrange_V1_13,N,25.8275,25.57178218,,,,
blueOrange_V1_14,N,35.67,116,,,,
blueOrange_V1_15,N,56.2125,39.13157895,,,,
blueOrange_V1_2,N,50.505,90.1875,,,,
blueOrange_V1_3,N,38.545,49.25878594,,,,
blueOrange_V1_4,N,57.95,190,,,,
blueOrange_V1_5,Y,0,NA,,,,
blueOrange_V1_6,Y,68.085,48.54545455,,,,
blueOrange_V1_7,Y,47.705,15.90166667,,,,
blueOrange_V1_8,N,55.5,111,,,,
blueOrange_V1_9,N,18.5875,18.53904282,,,,
blueOrange_V2_1,N,30.0625,32.41239892,,,,
blueOrange_V2_2,N,74.1,95,,,,
blueOrange_V2_3,N,19.9225,17.32391304,,,,
blueOrange_V2_4,Y,100,200,,,,
blueOrange_V2_5,Y,96,192,,,,
blueRed_V1_1,N,47.0725,24.84036939,,,,
blueRed_V1_10,Y,23.52,51.97790055,,,,
blueRed_V1_11,Y,54.9,60,,,,
blueRed_V1_12,N,36.525,18.94941634,,,,
blueRed_V1_13,Y,28.71,58.53061224,,,,
blueRed_V1_14,N,46.6075,24.75830013,,,,
blueRed_V1_15,N,76.3875,39.94117647,,,,
blueRed_V1_2,N,46.455,39.87553648,,,,
blueRed_V1_3,N,3.65,9.068322981,,,,
blueRed_V1_4,N,5.2075,11.63687151,,,,
blueRed_V1_5,N,48.4075,48.4075,,,,
blueRed_V1_6,N,18.815,8.926150121,,,,
blueRed_V1_7,Y,53.195,106.39,,,,
blueRed_V1_8,Y,52,52,,,,
blueRed_V1_9,N,28.905,17.78769231,,,,Predicted Y
blueRed_V2_1,Y,10.3725,10.97619048,,,,
blueRed_V2_2,N,40.355,16.04572565,,,,
blueRed_V2_3,Y,6.265,7.039325843,,,,
blueRed_V2_4,Y,91.5,91.5,,,,
blueRed_V2_5,Y,100,200,,,,
orangeRed_V1_1,N,46.4,28.64197531,,,,
orangeRed_V1_10,Y,25.28,20.51115619,,,,
orangeRed_V1_11,Y,53.175,55.68062827,,,,
orangeRed_V1_12,N,27.735,16.65765766,,,,
orangeRed_V1_13,Y,67.1225,86.56129032,,,,
orangeRed_V1_14,N,37.99,26.2,,,,
orangeRed_V1_15,N,55.54,32.24383164,,,,
orangeRed_V1_2,N,39.195,35.47058824,,,,
orangeRed_V1_3,Y,9.995,22.71590909,,,,
orangeRed_V1_4,Y,4.5,9,,,,
orangeRed_V1_5,Y,0,NA,,,,
orangeRed_V1_6,Y,18.205,8.909774436,,,,
orangeRed_V1_7,Y,31.895,63.79,,,,
orangeRed_V1_8,Y,28.86,52,,,,
orangeRed_V1_9,N,11.9275,15.64262295,,,,
orangeRed_V2_1,Y,17.95,14.07843137,,,,
orangeRed_V2_2,N,46.55,16.33333333,,,,
orangeRed_V2_3,Y,15.9025,7.608851675,,,,
orangeRed_V2_4,Y,91.5,91.5,,,,
orangeRed_V2_5,Y,96,200,,,,
