,time,Target.x,Target.y,Target.z
1,16645,1,1,2
2,16646,1,1,2
3,16647,1,1,2
4,16648,1,1,2
5,16649,1,1,2
6,16650,1,1,2
7,16651,1,1,2
8,16652,1,1,2
9,16653,1,1,2
10,16654,1,1,2
11,16655,1,1,2
12,16656,1,1,2
13,16657,1,1,2
14,16658,1,1,2
15,16659,1,1,2
16,16660,1,1,2
17,16661,1,1,1
18,16662,1,1,1
19,16663,1,1,1
20,16664,1,1,1
21,16665,1,1,1
22,16666,1,1,1
23,16667,1,1,1
24,16668,1,1,1
25,16669,1,1,1
26,16670,1,1,1
27,16671,1,1,1
28,16672,1,1,1
29,16673,1,1,1
30,16674,1,1,1
31,16675,1,1,1
32,16676,1,1,1
33,16677,1,1,1
34,16678,1,1,1
35,16679,1,1,1
36,16680,1,1,1
37,16681,1,1,1
38,16682,1,1,1
39,16683,1,1,1
40,16684,1,1,1
41,16685,1,1,1
42,16686,1,1,1
43,16687,1,1,1
44,16688,1,1,1
45,16689,1,1,1
46,16690,1,1,1
47,16691,1,1,1
48,16692,1,1,1
49,16693,1,1,1
50,16694,1,1,1
51,16695,1,1,1
52,16696,1,1,1
53,16697,1,1,1
54,16698,1,1,1
55,16699,1,1,1
56,16700,1,1,1
57,16701,1,1,1
58,16702,1,1,1
59,16703,1,1,1
60,16704,1,1,1
61,16705,1,1,1
62,16706,1,1,1
63,16707,1,1,1
64,16708,1,1,1
65,16709,1,1,1
66,16710,1,1,1
67,16711,1,1,1
68,16712,1,1,1
69,16713,1,1,1
70,16714,1,1,1
71,16715,1,1,1
72,16716,1,1,1
73,16717,1,1,1
74,16718,1,1,1
75,16719,1,1,1
76,16720,1,1,1
77,16721,1,1,1
78,16722,1,1,1
79,16723,1,1,1
80,16724,1,1,1
81,16725,1,1,1
82,16726,1,1,1
83,16727,1,1,1
84,16728,1,1,1
85,16729,1,1,1
86,16730,1,1,1
87,16731,1,1,1
88,16732,1,1,1
89,16733,1,1,1
90,16734,1,1,1
91,16735,1,1,1
92,16736,1,1,1
93,16737,1,1,1
94,16738,1,1,2
95,16739,1,1,2
96,16740,1,1,2
97,16741,1,1,2
98,16742,1,1,2
99,16743,1,1,2
100,16744,1,1,2
101,16745,1,1,2
102,16746,1,1,2
103,16747,1,1,2
104,16748,1,1,2
105,16749,1,1,2
106,16750,1,1,2
107,16751,1,1,2
108,16752,1,1,2
109,16753,1,1,2
110,16754,1,1,2
111,16755,1,1,2
112,16756,1,1,2
113,16757,1,1,2
114,16758,1,1,2
115,16759,1,1,2
116,16760,1,1,2
117,16761,1,1,2
118,16762,1,1,2
119,16763,1,1,2
120,16764,1,1,2
121,16765,1,1,2
122,16766,1,1,2
