"","time","Target.x","Target.y","Target.z"
"1",1693,1,1,1
"2",1694,1,1,1
"3",1695,1,1,1
"4",1696,1,1,1
"5",1697,1,1,1
"6",1698,1,1,1
"7",1699,1,1,1
"8",1700,1,1,1
"9",1701,1,1,1
"10",1702,1,1,1
"11",1703,1,1,1
"12",1704,1,1,1
"13",1705,1,1,1
"14",1706,1,1,1
"15",1707,1,1,1
"16",1708,1,1,1
"17",1709,1,2,1
"18",1710,1,2,1
"19",1711,1,2,1
"20",1712,1,2,1
"21",1713,1,2,1
"22",1714,1,2,1
"23",1715,1,2,1
"24",1716,1,2,1
"25",1717,1,2,1
"26",1718,1,2,1
"27",1719,1,2,1
"28",1720,1,2,1
"29",1721,1,1,1
"30",1722,1,1,1
"31",1723,1,1,1
"32",1724,1,1,1
"33",1725,1,1,1
"34",1726,1,1,1
"35",1727,1,1,1
"36",1728,1,1,1
"37",1729,1,1,1
"38",1730,1,1,1
"39",1731,1,1,1
"40",1732,1,1,1
"41",1733,1,1,1
"42",1734,1,1,1
"43",1735,1,1,1
"44",1736,1,1,1
"45",1737,1,1,1
"46",1738,1,1,1
"47",1739,1,1,1
"48",1740,1,1,1
"49",1741,1,1,1
"50",1742,1,1,1
"51",1743,1,1,1
"52",1744,1,1,1
"53",1745,1,1,1
"54",1746,1,1,1
"55",1747,1,1,1
"56",1748,1,1,1
"57",1749,1,1,1
"58",1750,1,1,1
"59",1751,1,1,1
"60",1752,1,1,1
"61",1753,1,1,1
"62",1754,1,1,1
"63",1755,1,1,1
"64",1756,1,1,1
"65",1757,1,1,1
"66",1758,1,1,1
"67",1759,1,1,1
"68",1760,1,1,1
"69",1761,1,1,1
"70",1762,1,1,1
"71",1763,1,1,1
"72",1764,1,1,1
"73",1765,1,1,1
"74",1766,1,1,1
"75",1767,1,1,1
"76",1768,1,1,1
"77",1769,1,1,1
"78",1770,1,1,1
"79",1771,1,1,1
"80",1772,1,1,1
"81",1773,1,1,1
"82",1774,1,1,1
"83",1775,1,1,1
"84",1776,1,1,2
"85",1777,1,1,2
"86",1778,1,1,2
"87",1779,1,1,2
"88",1780,1,1,2
"89",1781,1,1,2
"90",1782,1,1,1
"91",1783,1,1,1
"92",1784,1,1,1
"93",1785,1,1,1
"94",1786,1,1,1
"95",1787,1,1,1
"96",1788,1,1,1
"97",1789,1,1,1
"98",1790,1,1,1
"99",1791,1,1,1
"100",1792,1,1,1
"101",1793,1,1,1
"102",1794,1,1,1
"103",1795,1,1,1
"104",1796,1,1,1
"105",1797,1,1,1
"106",1798,1,1,1
"107",1799,1,1,1
"108",1800,1,1,1
"109",1801,1,1,1
"110",1802,1,1,3
"111",1803,1,1,3
"112",1804,1,1,3
"113",1805,1,1,3
"114",1806,1,1,3
"115",1807,1,1,3
"116",1808,1,1,3
"117",1809,1,1,3
"118",1810,1,1,3
"119",1811,1,1,3
"120",1812,1,1,3
"121",1813,1,1,3
"122",1814,1,1,3
"123",1815,1,1,3
"124",1816,1,1,3
"125",1817,1,1,2
"126",1818,1,1,2
"127",1819,2,1,2
"128",1820,2,1,2
"129",1821,2,1,2
"130",1822,2,1,2
"131",1823,2,1,2
"132",1824,1,1,3
"133",1825,1,1,3
"134",1826,1,1,3
