Sync Time,Video #,Gaze Target,Target Code,Index
05:23.4,Red_2_1,Computer,1,1
05:23.6,Red_2_1,Orange,30,1
05:24.8,Red_2_1,Computer,1,1
05:27.1,Red_2_1,Orange,30,1
05:30.6,Red_2_1,Professor,11,1
05:31.9,Red_2_1,BlueNbook,7,1
05:37.1,Red_2_1,Professor,11,1
05:39.1,Red_2_1,Computer,1,1
05:48.1,Red_2_1,Orange,30,1
05:48.8,Red_2_1,Computer,1,1
05:50.3,Red_2_1,Orange,30,1
05:53.8,Red_2_1,Computer,1,1
05:54.8,Red_2_1,BlueCalc,6,1
05:57.2,Red_2_1,Computer,1,1
06:00.8,Red_2_1,Professor,11,1
06:02.1,Red_2_1,Computer,1,1
06:18.3,Red_2_1,Professor,11,1
06:23.1,Red_2_1,Red,31,1
06:23.4,Red_2_1,Red,31,1
08:28.2,Red_2_2,Computer,1,2
08:34.0,Red_2_2,Red,31,2
08:34.6,Red_2_2,Computer,1,2
08:43.9,Red_2_2,Red,31,2
08:44.7,Red_2_2,BlueNbook,7,2
08:47.7,Red_2_2,Computer,1,2
08:48.9,Red_2_2,Red,31,2
08:51.1,Red_2_2,Other team,13,2
08:52.3,Red_2_2,Computer,1,2
08:54.4,Red_2_2,Other team,13,2
09:00.7,Red_2_2,Wandering,18,2
09:03.7,Red_2_2,BlueNbook,7,2
09:05.1,Red_2_2,Computer,1,2
09:06.9,Red_2_2,Other team,13,2
09:23.2,Red_2_2,Computer,1,2
09:27.7,Red_2_2,Test,2,2
09:28.2,Red_2_2,Test,2,2
09:55.2,Red_2_3,BlueCalculator,6,3
09:57.1,Red_2_3,BlueNbook,7,3
10:00.4,Red_2_3,BlueCalculator,6,3
10:00.9,Red_2_3,Computer,1,3
10:04.2,Red_2_3,BlueCalculator,6,3
10:06.9,Red_2_3,Computer,1,3
10:07.9,Red_2_3,BlueCalculator,6,3
10:10.2,Red_2_3,Wandering,18,3
10:12.7,Red_2_3,OrangeCalculator,8,3
10:14.1,Red_2_3,BlueCalculator,6,3
10:19.6,Red_2_3,OrangeCalculator,8,3
10:21.6,Red_2_3,Wandering,18,3
10:23.9,Red_2_3,Orange,30,3
10:26.1,Red_2_3,OrangeCalculator,8,3
10:27.8,Red_2_3,Wandering,18,3
10:33.1,Red_2_3,Test,2,3
10:34.1,Red_2_3,Computer,1,3
10:40.4,Red_2_3,Notes,12,3
10:45.1,Red_2_3,Test,2,3
10:46.1,Red_2_3,Orange,30,3
10:48.9,Red_2_3,Notes,12,3
10:49.6,Red_2_3,Orange,30,3
10:50.1,Red_2_3,Notes,12,3
10:55.2,Red_2_3,Notes,12,3
19:49.3,Red_2_4,Computer,1,4
20:25.4,Red_2_4,Orange,30,4
20:26.7,Red_2_4,Computer,1,4
20:28.7,Red_2_4,Orange,30,4
20:30.2,Red_2_4,Computer,1,4
20:30.8,Red_2_4,BlueNbook,7,4
20:31.0,Red_2_4,Computer,1,4
20:36.8,Red_2_4,Test,2,4
20:37.0,Red_2_4,Computer,1,4
20:49.3,Red_2_4,Computer,1,4
21:14.4,Red_2_5,Computer,1,5
21:39.3,Red_2_5,Orange,30,5
21:42.0,Red_2_5,BlueNbook,7,5
21:46.0,Red_2_5,Orange,30,5
21:46.5,Red_2_5,Computer,1,5
21:50.5,Red_2_5,BlueNbook,7,5
21:51.5,Red_2_5,Computer,1,5
21:57.5,Red_2_5,BlueNbook,7,5
21:58.3,Red_2_5,Orange,30,5
21:59.5,Red_2_5,BlueNbook,7,5
22:00.3,Red_2_5,Red,31,5
22:01.5,Red_2_5,Computer,1,5
22:14.4,Red_2_5,Computer,1,5
