Sync Time,Interval Name,Gaze Target,Target Code,Index
02:09.1,Red_1_1,BlueNbook,7,1
02:11.5,Red_1_1,Computer,1,1
02:13.6,Red_1_1,BlueNbook,7,1
02:14.3,Red_1_1,Computer,1,1
02:17.6,Red_1_1,BlueNbook,7,1
02:25.7,Red_1_1,Computer,1,1
02:31.8,Red_1_1,BlueNbook,7,1
02:32.8,Red_1_1,Computer,1,1
02:37.0,Red_1_1,BlueNbook,7,1
02:41.5,Red_1_1,Computer,1,1
02:44.7,Red_1_1,Another team,13,1
02:45.1,Red_1_1,Computer,1,1
02:46.9,Red_1_1,Test,2,1
02:47.4,Red_1_1,Computer,1,1
02:48.5,Red_1_1,Indetermined,90,1
02:48.9,Red_1_1,OrangeNbook,9,1
03:09.1,Red_1_1,OrangeNbook,9,1
03:37.8,Red_1_2,Test,2,2
03:40.6,Red_1_2,Computer,1,2
03:52.3,Red_1_2,Test,2,2
03:54.7,Red_1_2,OrangeNbook,9,2
04:05.5,Red_1_2,Red,31,2
04:06.2,Red_1_2,OrangeNbook,9,2
04:10.5,Red_1_2,Indetermined,90,2
04:11.0,Red_1_2,Computer,1,2
04:15.2,Red_1_2,Test,2,2
04:16.8,Red_1_2,BlueNbook,7,2
04:17.3,Red_1_2,Computer,1,2
04:18.5,Red_1_2,Distracted,10,2
04:19.7,Red_1_2,Computer,1,2
04:37.8,Red_1_2,Computer,1,2
05:36.3,Red_1_3,Computer,1,3
05:37.2,Red_1_3,Test,2,3
05:45.9,Red_1_3,Computer,1,3
05:53.1,Red_1_3,Blue,30,3
05:55.1,Red_1_3,Distracted,10,3
05:56.4,Red_1_3,Computer,1,3
05:59.0,Red_1_3,Distracted,10,3
06:00.2,Red_1_3,Computer,1,3
06:01.2,Red_1_3,BlueNbook,7,3
06:01.4,Red_1_3,Computer,1,3
06:25.4,Red_1_3,Test,2,3
06:26.7,Red_1_3,Computer,1,3
06:28.0,Red_1_3,Test,2,3
06:28.7,Red_1_3,Distracted,10,3
06:33.2,Red_1_3,Computer,1,3
06:36.3,Red_1_3,Computer,,3
09:02.1,Red_1_4,Test,2,4
09:03.1,Red_1_4,Computer,1,4
09:49.4,Red_1_4,OrangeNbook,9,4
09:49.9,Red_1_4,Computer,1,4
09:53.1,Red_1_4,OrangeNbook,9,4
09:53.7,Red_1_4,Test,2,4
09:58.4,Red_1_4,Computer,1,4
09:59.7,Red_1_4,Test,2,4
10:00.4,Red_1_4,Computer,1,4
10:02.1,Red_1_4,Computer,1,4
11:19.1,Red_1_5,OrangeCell,14,5
11:53.2,Red_1_5,Computer,1,5
12:03.2,Red_1_5,Wandering,10,5
12:05.5,Red_1_5,OrangeNbook,9,5
12:08.8,Red_1_5,Computer,1,5
12:09.5,Red_1_5,OrangeNbook,9,5
12:10.8,Red_1_5,BlueNbook,7,5
12:11.4,Red_1_5,OrangeNbook,9,5
12:12.0,Red_1_5,BlueCalc,6,5
12:17.0,Red_1_5,OrangeNbook,9,5
12:18.0,Red_1_5,BlueCalc,6,5
12:19.1,Red_1_5,OrangeNbook,9,5
13:02.2,Red_1_6,Test,2,6
13:02.3,Red_1_6,Computer,1,6
13:03.8,Red_1_6,OrangeCell,14,6
13:12.8,Red_1_6,Computer,1,6
13:13.1,Red_1_6,OrangeCell,14,6
13:14.6,Red_1_6,Computer,1,6
13:15.5,Red_1_6,OrangeCell,14,6
13:27.0,Red_1_6,Computer,1,6
13:28.0,Red_1_6,OrangeCell,14,6
13:32.0,Red_1_6,Computer,1,6
13:35.2,Red_1_6,OrangeCell,14,6
13:36.8,Red_1_6,Computer,1,6
13:52.1,Red_1_6,OrangeCell,14,6
13:54.8,Red_1_6,Computer,1,6
14:02.1,Red_1_6,OrangeCell,14,6
14:02.2,Red_1_6,Computer,1,6
16:02.3,Red_1_7,OrangeCell,14,7
16:06.8,Red_1_7,Computer,1,7
16:07.3,Red_1_7,OrangeCell,14,7
16:12.3,Red_1_7,Computer,1,7
16:13.3,Red_1_7,OrangeCell,14,7
16:14.1,Red_1_7,Computer,1,7
16:15.1,Red_1_7,OrangeCell,14,7
16:16.5,Red_1_7,Computer,1,7
16:17.0,Red_1_7,OrangeCell,14,7
16:18.1,Red_1_7,Computer,1,7
16:18.5,Red_1_7,OrangeCell,14,7
16:20.8,Red_1_7,Computer,1,7
16:22.5,Red_1_7,OrangeCell,14,7
16:22.9,Red_1_7,Computer,1,7
16:26.5,Red_1_7,OrangeCell,14,7
16:27.0,Red_1_7,Computer,1,7
16:30.0,Red_1_7,OrangeCell,14,7
16:36.3,Red_1_7,Computer,1,7
16:39.5,Red_1_7,OrangeCell,14,7
16:43.3,Red_1_7,Computer,1,7
16:45.3,Red_1_7,OrangeCell,14,7
16:51.3,Red_1_7,Computer,1,7
16:53.3,Red_1_7,OrangeCell,14,7
16:55.8,Red_1_7,Computer,1,7
16:56.3,Red_1_7,OrangeCell,14,7
17:02.3,Red_1_7,OrangeCell,14,7
17:32.6,Red_1_8,OrangeCell,14,8
17:41.5,Red_1_8,Computer,1,8
17:53.0,Red_1_8,OrangeCell,14,8
17:56.5,Red_1_8,Test,2,8
17:57.2,Red_1_8,OrangeCell,14,8
17:57.8,Red_1_8,Test,2,8
17:59.5,Red_1_8,OrangeCell,14,8
18:00.5,Red_1_8,Test,2,8
18:29.0,Red_1_8,Computer,1,8
18:30.0,Red_1_8,Test,2,8
18:32.6,Red_1_8,Test,2,8
20:39.7,Red_1_9,Test,2,9
20:40.1,Red_1_9,BlueCalc,6,9
20:43.3,Red_1_9,Test,2,9
20:44.8,Red_1_9,BlueCalc,6,9
20:47.1,Red_1_9,Test,2,9
20:48.7,Red_1_9,BlueCalc,6,9
20:49.2,Red_1_9,Computer,1,9
20:57.7,Red_1_9,Test,2,9
20:59.0,Red_1_9,OrangeCalc,8,9
20:59.6,Red_1_9,Test,2,9
21:05.9,Red_1_9,OrangeCalc,8,9
21:06.9,Red_1_9,BlueCalc,6,9
21:09.8,Red_1_9,OrangeCalc,8,9
21:10.8,Red_1_9,Test,2,9
21:13.3,Red_1_9,OrangeCalc,8,9
21:14.3,Red_1_9,Test,2,9
21:15.0,Red_1_9,Computer,1,9
21:17.8,Red_1_9,BlueNbook,7,9
21:18.5,Red_1_9,OrangeCalc,8,9
21:19.0,Red_1_9,BlueNbook,7,9
21:19.5,Red_1_9,BlueCalc,6,9
21:20.9,Red_1_9,BlueNbook,7,9
21:23.4,Red_1_9,Computer,1,9
21:23.8,Red_1_9,BlueCalc,6,9
21:24.0,Red_1_9,BlueNbook,7,9
21:24.8,Red_1_9,BlueCalc,6,9
21:25.3,Red_1_9,Computer,1,9
21:25.5,Red_1_9,Test,2,9
21:32.4,Red_1_9,Computer,1,9
