Sync Time,Interval Name,Gaze Target,Target Code,Index
02:09.100,Red_1_1,BlueNbook,7,1
02:15.700,Red_1_1,Orange,32,1
02:16.400,Red_1_1,BlueNbook,7,1
02:17.500,Red_1_1,Orange,32,1
02:18.800,Red_1_1,BlueNbook,7,1
02:22.000,Red_1_1,Test,2,1
02:22.300,Red_1_1,BlueNbook,7,1
02:24.900,Red_1_1,Orange,32,1
02:25.600,Red_1_1,BlueNbook,7,1
02:27.100,Red_1_1,Computer,1,1
02:37.300,Red_1_1,BlueNbook,7,1
02:41.300,Red_1_1,Blue,30,1
02:46.300,Red_1_1,Distracted,19,1
02:46.800,Red_1_1,Blue,30,1
02:48.000,Red_1_1,Distracted,19,1
02:48.800,Red_1_1,Blue,30,1
02:49.600,Red_1_1,OrangeNbook,9,1
02:58.300,Red_1_1,Computer,1,1
03:09.100,Red_1_1,Computer,1,1
03:37.800,Red_1_2,Test,2,2
03:41.600,Red_1_2,Computer,1,2
03:49.300,Red_1_2,Test,2,2
03:50.300,Red_1_2,Computer,1,2
03:52.800,Red_1_2,Test,2,2
03:54.500,Red_1_2,BlueNbook,7,2
03:55.300,Red_1_2,Orange,32,2
03:56.100,Red_1_2,Blue,30,2
03:56.500,Red_1_2,Test,2,2
03:57.200,Red_1_2,Blue,30,2
03:58.100,Red_1_2,OrangeNbook,9,2
04:10.300,Red_1_2,Orange,32,2
04:11.800,Red_1_2,Computer,1,2
04:12.300,Red_1_2,Test,2,2
04:14.100,Red_1_2,BlueNbook,7,2
04:14.700,Red_1_2,Distracted,19,2
04:18.700,Red_1_2,Test,2,2
04:19.700,Red_1_2,Computer,1,2
04:20.100,Red_1_2,Blue,30,2
04:20.500,Red_1_2,Distracted,19,2
04:21.500,Red_1_2,Another team,13,2
04:29.500,Red_1_2,Computer,1,2
04:33.200,Red_1_2,Test,2,2
04:33.500,Red_1_2,Distracted,19,2
04:35.600,Red_1_2,Computer,1,2
04:37.800,Red_1_2,Computer,1,2
05:36.300,Red_1_3,Test,2,3
05:44.500,Red_1_3,Computer,1,3
05:45.200,Red_1_3,Orange,32,3
05:45.300,Red_1_3,Blue,30,3
