Sync Time,Interval Name,InitTimeStamp,FinTimeStamp,Duration,Gaze Target,Target Code,Fix Range,Audio,Comments
02:09.1,Red_1_1,,,,BlueNbook,7,,,
02:11.5,Red_1_1,04:45.0,04:47.1,00:02.1,Computer,1,,,
02:13.6,Red_1_1,04:47.1,04:47.8,00:00.7,BlueNbook,7,,,
02:14.3,Red_1_1,04:47.8,04:51.1,00:03.3,Computer,1,,,
02:17.6,Red_1_1,04:51.1,04:59.2,00:08.1,BlueNbook,7,,,
02:25.7,Red_1_1,04:59.2,05:05.3,00:06.1,Computer,1,,,
02:31.8,Red_1_1,05:05.3,05:06.3,00:01.0,BlueNbook,7,,,
02:32.8,Red_1_1,05:06.3,05:10.5,00:04.2,Computer,1,,,
02:37.0,Red_1_1,05:10.5,05:15.0,00:04.5,BlueNbook,7,,,
02:41.5,Red_1_1,05:15.0,05:18.2,00:03.2,Computer,1,,,
02:44.7,Red_1_1,05:18.2,05:18.6,00:00.4,Another team,13,,,
02:45.1,Red_1_1,05:18.6,05:20.4,00:01.8,Computer,1,,,
02:46.9,Red_1_1,05:20.4,05:20.9,00:00.5,Test,2,,,
02:47.4,Red_1_1,05:20.9,05:22.0,00:01.1,Computer,1,,,
02:48.5,Red_1_1,05:22.0,05:22.4,00:00.4,Indetermined,90,,,
02:48.9,Red_1_1,05:22.4,05:57.1,00:34.7,OrangeNbook,9,,,
03:09.1,Red_1_1,,,,OrangeNbook,9,,,
