Sync Time,Interval Name,InitTimeStamp,FinTimeStamp,Duration,Gaze Target,Target Code,Fix Range,Audio,Comments
02:09.1,Red_1_1,04:23.0,04:29.6,00:07.5,BlueNbook,7,,,
02:15.7,Red_1_1,04:29.6,04:30.3,00:00.7,Orange,32,,,
02:16.4,Red_1_1,04:30.3,04:31.4,00:01.1,BlueNbook,7,,,
02:17.5,Red_1_1,04:31.4,04:32.7,00:01.3,Orange,32,,,
02:18.8,Red_1_1,04:32.7,04:35.9,00:03.2,BlueNbook,7,,,
02:22.0,Red_1_1,04:35.9,04:36.2,00:00.3,Test,2,,,
02:22.3,Red_1_1,04:36.2,04:38.8,00:02.6,BlueNbook,7,,,
02:24.9,Red_1_1,04:38.8,04:39.5,00:00.7,Orange,32,,,
02:25.6,Red_1_1,04:39.5,04:41.0,00:01.5,BlueNbook,7,,,
02:27.1,Red_1_1,04:41.0,04:51.2,00:10.2,Computer,1,,,
02:37.3,Red_1_1,04:51.2,04:55.2,00:04.0,BlueNbook,7,,,
02:41.3,Red_1_1,04:55.2,05:00.2,00:05.0,Blue,33,,,
02:46.3,Red_1_1,05:00.2,05:00.7,00:00.5,Distracted,19,,,
02:46.8,Red_1_1,05:00.7,05:01.9,00:01.2,Blue,33,,,
02:48.0,Red_1_1,05:01.9,05:02.7,00:00.8,Distracted,19,,,
02:48.8,Red_1_1,05:02.7,05:03.5,00:00.8,Blue,33,,,
02:49.6,Red_1_1,05:03.5,05:12.2,00:08.7,OrangeNbook,9,,,
02:58.3,Red_1_1,05:12.2,05:23.0,00:26.3,Computer,1,,,
03:09.1,,05:23.0,05:38.5,,Computer,1,,,
